country,tech,capacity_potential,source
LT,solar,502030.399789772,Brown & Schlachtberger
LU,solar,24653.372836093,Brown & Schlachtberger
LV,solar,339786.424986706,Brown & Schlachtberger
ME,solar,45766.7650080592,Brown & Schlachtberger
MK,solar,158577.055256535,Brown & Schlachtberger
NL,solar,397769.842250358,Brown & Schlachtberger
NO,solar,1281357.71520025,Brown & Schlachtberger
PL,solar,2414522.03043532,Brown & Schlachtberger
PT,solar,386449.457220195,Brown & Schlachtberger
RO,solar,1857508.50849951,Brown & Schlachtberger
RS,solar,582965.504527809,Brown & Schlachtberger
SE,solar,602579.665421883,Brown & Schlachtberger
SI,solar,74982.9452510313,Brown & Schlachtberger
SK,solar,282995.866268178,Brown & Schlachtberger
