country,tech,capacity_potential,source
AT,caes,7.089,ZNES
BE,caes,121.215,ZNES
CZ,caes,280.791,ZNES
DK,caes,63,ZNES
FR,caes,75,ZNES
DE,caes,1029.297,ZNES
LU,caes,38.277,ZNES
NL,caes,512.505,ZNES
NO,caes,0,ZNES
PL,caes,517.209,ZNES
SE,caes,0,ZNES
CH,caes,7.911,ZNES
